"","loc_county","loc_name","metric","gridrows","gridcols","hectare","gridrows_adjusted","gridcols_adjusted","adjusted_ratio","Lifestage","ha_perc","v1_perc","num_ticks_projected"
"1","Westchester","Mohansic Golf Course",0.497481430219999,1872,1872,350.297006013561,1000,1000,1.872,"Nymph",0,0.04,70
"2","Westchester","Mohansic Golf Course",0.497481430219999,1872,1872,350.297006013561,1000,1000,1.872,"Adult",0,0,20
"3","Cattaraugus","Allegany State Park",0.856787587335839,4802,4802,2305.94231676798,1000,1000,4.802,"Adult",0,0,3
"4","Cattaraugus","Allegany State Park",0.856787587335839,4802,4802,2305.94231676798,1000,1000,4.802,"Nymph",0,0,0
"5","Allegany","Hanging Bog",0.624923789483663,1673,1673,279.968145575657,1000,1000,1.673,"Adult",0,0.0909090909090909,8.7
"6","Allegany","Hanging Bog",0.624923789483663,1673,1673,279.968145575657,1000,1000,1.673,"Nymph",0,0,0
"7","Allegany","Moss Lake",0.417983995483028,1419,1419,201.286048840245,1000,1000,1.419,"Adult",0,0,12.3
"8","Allegany","Moss Lake",0.417983995483028,1419,1419,201.286048840245,1000,1000,1.419,"Nymph",0,0,0
"9","Saratoga","Saratoga Spa State Park",0.17613756859821,1010,1010,101.945410724496,1000,1000,1.01,"Adult",0,0,12.9
"10","Saratoga","Saratoga Spa State Park",0.17613756859821,1010,1010,101.945410724496,1000,1000,1.01,"Nymph",0,0,70.8
"11","Saratoga","Saratoga Spa State Park - White Farms Road",0.17613756859821,1010,1010,101.945410724496,1000,1000,1.01,"Adult",0,0,22.6
"12","Allegany","Hanging Bog - Brown Road",0.537045634313546,1411,1411,199.130374957051,1000,1000,1.411,"Adult",0,0,0
"13","Allegany","Hanging Bog - Brown Road",0.537045634313546,1411,1411,199.130374957051,1000,1000,1.411,"Nymph",0,0,0
"14","Suffolk","Pine Barrens Trails",0.533276742411543,1039,1039,107.873513903259,1000,1000,1.039,"Nymph",0.0185185185185185,0.037037037037037,8.2
"15","Suffolk","Pine Barrens Trails",0.533276742411543,1039,1039,107.873513903259,1000,1000,1.039,"Adult",0,0.0476190476190476,21
"16","Saratoga","Veterans Memorial Park",0.219644927714968,1001,1001,100.149015821954,1000,1000,1.001,"Adult",0,0,14.8
"17","Saratoga","Veterans Memorial Park",0.219644927714968,1001,1001,100.149015821954,1000,1000,1.001,"Nymph",0,0.0222222222222222,19.9
"18","Suffolk","Swan Pond - River Rd",0.388004641860097,1042,1042,108.502252119182,1000,1000,1.042,"Adult",0.0625,0.0208333333333333,68
"19","Suffolk","Swan Pond - River Rd",0.388004641860097,1042,1042,108.502252119182,1000,1000,1.042,"Nymph",0,0.06,77.9
"20","Saratoga","Kinns Road Park",0.165350961358603,1088,1088,118.382424083744,1000,1000,1.088,"Nymph",0,0,2
"21","Saratoga","Kinns Road Park",0.165350961358603,1088,1088,118.382424083744,1000,1000,1.088,"Adult",0,0,0.9
"22","Saratoga","Jenkins Park",0.219644927714968,1001,1001,100.149015821954,1000,1000,1.001,"Nymph",0,0,21.9
"23","Saratoga","Jenkins Park",0.219644927714968,1001,1001,100.149015821954,1000,1000,1.001,"Adult",0,0,127
"24","Saratoga","Woods Hollow Nature Preserve",0.17613756859821,1010,1010,101.945410724496,1000,1000,1.01,"Nymph",0,0,13.3
"25","Saratoga","Woods Hollow Nature Preserve",0.17613756859821,1010,1010,101.945410724496,1000,1000,1.01,"Adult",0.12,0.02,68.3
"26","Saratoga","Woods Hollow Nature Preserve - Northline Rd",0.17613756859821,1010,1010,101.945410724496,1000,1000,1.01,"Adult",0,0,47.9
"27","Saratoga","7-8 Sharon Ln",0.219644927714968,1001,1001,100.149015821954,1000,1000,1.001,"Nymph",0,0,38.2
"28","Saratoga","7-8 Sharon Ln",0.219644927714968,1001,1001,100.149015821954,1000,1000,1.001,"Adult",0,0,35.8
"29","Saratoga","Dwaas Kill Nature Preserve",0.165350961358603,1088,1088,118.382424083744,1000,1000,1.088,"Nymph",0,0,49.2
"30","Saratoga","Dwaas Kill Nature Preserve",0.165350961358603,1088,1088,118.382424083744,1000,1000,1.088,"Adult",0,0,153.4
"31","Saratoga","Kelley Park",0.224754460038435,1117,1117,124.849445733124,1000,1000,1.117,"Adult",0.16,0.02,44.7
"32","Cattaraugus","Allegany State Park - FLT North Country Access 4",0.836062265324273,5609,5609,3145.93657324001,1000,1000,5.609,"Adult",0.0833333333333333,0,30
"33","Cattaraugus","Allegany State Park - Thunder Rocks",0.754664932203501,8433,8433,7112.01723927935,1000,1000,8.433,"Adult",0,0,5
"34","Allegany","Genesee Valley Greenway State Park",0.417983995483028,1419,1419,201.286048840245,1000,1000,1.419,"Adult",0.1,0,54.5
"35","Allegany","Genesee Valley Greenway State Park",0.417983995483028,1419,1419,201.286048840245,1000,1000,1.419,"Nymph",0,0,1.7
